datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2023-12-13 13:51:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,802.9,802.9,802.9,802.9,0,35850,100
2023-12-13 14:08:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,793,793,793,793,0,35850,101
2023-12-13 14:11:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,798,798,798,798,0,35900,102
2023-12-13 15:00:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,799,799,799,799,0,35850,103
2023-12-13 15:01:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,795.95,795.95,793.25,793.25,100,35850,104
2023-12-13 15:16:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,771.3,778.05,771.3,778.05,300,35850,105
2023-12-13 15:23:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,773.7,773.7,773.7,773.7,0,35850,106
2023-12-13 15:26:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,765.4,765.4,765.4,765.4,0,35850,107
2023-12-14 09:15:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,655.95,655.95,655.95,655.95,0,35850,108
2023-12-14 09:16:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,610,610,610,610,0,35850,109
2023-12-14 09:20:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,599.9,599.9,599.9,599.9,0,35850,110
2023-12-14 09:25:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,607.55,607.55,607.55,607.55,0,35900,111
2023-12-14 09:26:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,610.2,610.2,600.1,600.1,200,35750,112
2023-12-14 09:28:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,591.55,591.55,590,590,50,36000,113
2023-12-14 09:29:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,585.6,585.6,585.6,585.6,0,36050,114
2023-12-14 09:30:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,585.6,585.6,585.6,585.6,0,36050,115
2023-12-14 09:32:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,579.8,579.8,579.8,579.8,0,36150,116
2023-12-14 09:33:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,577.5,577.5,577.5,577.5,0,36150,117
2023-12-14 09:34:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,578,578,578,578,0,36150,118
2023-12-14 09:40:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,583,583,583,583,0,36300,119
2023-12-14 09:45:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,583.5,583.65,583.5,583.65,100,36300,120
2023-12-14 09:50:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,562,562,560,560,50,36300,121
2023-12-14 09:53:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,552.5,552.5,552.5,552.5,0,36300,122
2023-12-14 09:56:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,551,551,551,551,0,36450,123
2023-12-14 09:58:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,546,546,546,546,0,36450,124
2023-12-14 09:59:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,547.2,547.2,545,545,50,36450,125
2023-12-14 10:03:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,547.9,547.9,547.9,547.9,0,36550,126
2023-12-14 10:10:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,562,562,562,562,0,36550,127
2023-12-14 10:12:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,556.65,556.65,556.65,556.65,0,36600,128
2023-12-14 10:22:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,565.35,565.35,565.35,565.35,0,36600,129
2023-12-14 10:25:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,572.2,572.2,572.2,572.2,0,36600,130
2023-12-14 10:33:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,578,578,578,578,0,36600,131
2023-12-14 10:34:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,580,580,580,580,0,36600,132
2023-12-14 10:42:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,580,580,580,580,0,36450,133
2023-12-14 10:43:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,581.15,581.15,580.1,580.1,300,36450,134
2023-12-14 10:48:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,560.95,560.95,560.95,560.95,0,36550,135
2023-12-14 10:50:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,562.25,562.25,562.25,562.25,0,36550,136
2023-12-14 10:52:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,559,559,559,559,0,36550,137
2023-12-14 10:53:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,560,561.45,560,561.45,100,36550,138
2023-12-14 10:54:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,568.35,568.35,568.35,568.35,0,36600,139
2023-12-14 10:59:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,562.85,562.85,562.85,562.85,0,36600,140
